Category,Prompt ID,Prompt,,
General,1,Let the neck be free,,
General,2,Allow the head to go forward and up,,
General,3,Let the back lengthen,,
General,4,Let the back widen,,
General,5,Allow the shoulders to release out to the sides,,
General,6,Soften the jaw,,
General,7,Let the tongue rest wide in the mouth,,
General,8,Release the eyes in their sockets,,
General,9,Allow breath to come and go,,
General,10,Do less,,
General,11,Pause before you move,,
General,12,Notice unnecessary effort,,
General,13,Stop trying to fix yourself,,
General,14,Let the floor support you,,
General,15,Let the chair take your weight,,
General,16,Allow the sit bones to release downward,,
General,17,Let the ribs move freely,,
General,18,Think space between vertebrae,,
General,19,Allow the head to balance easily,,
General,20,Let gravity do the work,,
General,21,Widen across the collarbones,,
General,22,Let the arms hang from the back,,
General,23,Allow the hands to be light,,
General,24,Soften the neck before speaking,,
General,25,Let the head lead the movement,,
General,26,Allow length through the whole spine,,
General,27,Let the knees go forward and away,,
General,28,Release the hips without pushing,,
General,29,Think up without stiffening,,
General,30,"Allow ease, not effort",,
General,31,Notice where you are holding,,
General,32,Choose not to tighten,,
General,33,Let go of good posture,,
General,34,Allow coordination to happen,,
General,35,Let movement emerge,,
General,36,Keep the neck free as you stand,,
General,37,Let the back stay wide as you sit,,
General,38,Allow the head to float,,
General,39,Trust the support beneath you,,
General,40,Let your breathing organize itself,,
General,41,Pause at the start of action,,
General,42,Allow length before movement,,
General,43,Reduce excess muscle tone,,
General,44,Let the chest be soft,,
General,45,Allow the spine to be springy,,
General,46,"Think direction, not position",,
General,47,Let the body be curious,,
General,48,Release downward without collapsing,,
General,49,Let the arms follow the back,,
General,50,"Allow balance, not control",,
General,51,Let the neck release when stressed,,
General,52,Widen your awareness beyond yourself,,
General,53,Include the whole room,,
General,54,Let your weight distribute evenly,,
General,55,Think of the head as light,,
General,56,Let effort drain out,,
General,57,Allow your body to organize,,
General,58,Soften the front of the neck,,
General,59,Let the back breathe,,
General,60,Choose ease over habit,,
General,61,Let the spine lengthen upward,,
General,62,Allow width through the pelvis,,
General,63,Release the shoulders down and wide,,
General,64,Let the feet rest on the ground,,
General,65,Allow the knees to unlock,,
General,66,Let the neck lead all movement,,
General,67,Think up without strain,,
General,68,Stop forcing alignment,,
General,69,Let coordination replace control,,
General,70,Allow stillness inside movement,,
General,71,"Pause, then proceed",,
General,72,Let go of end-gaining,,
General,73,Allow means to matter,,
General,74,Think freedom first,,
General,75,Let the body respond,,
General,76,Soften before you act,,
General,77,Allow space in the joints,,
General,78,Let tension dissolve downward,,
General,79,Keep the head free as you walk,,
General,80,Allow the back to support the limbs,,
General,81,Reduce effort in the neck,,
General,82,Let the torso widen as you breathe,,
General,83,Allow the spine to lengthen naturally,,
General,84,Notice and release gripping,,
General,85,Let the body feel supported,,
General,86,Allow balance to be dynamic,,
General,87,Think ease through transitions,,
General,88,Let your attention be wide,,
General,89,Allow movement to be simple,,
General,90,Trust natural coordination,,
General,91,Let go of over-doing,,
General,92,Allow clarity instead of force,,
General,93,Keep direction; drop tension,,
General,94,Let your weight flow downward,,
General,95,Allow the head to lead forward and up,,
General,96,Choose softness over stiffness,,
General,97,Let the back widen again,,
General,98,"Release, then move",,
General,99,"Allow less effort, more length",,
General,100,Stop. Think. Direct.,,
