Prompt ID,Prompt,Class Notes,Student Response,Use Again (Y/N)
1,Let the neck be free,,,
2,Allow the head to go forward and up,,,
3,Let the back lengthen,,,
4,Let the back widen,,,
5,Allow the shoulders to release out to the sides,,,
6,Soften the jaw,,,
7,Let the tongue rest wide in the mouth,,,
8,Release the eyes in their sockets,,,
9,Allow breath to come and go,,,
10,Do less,,,
11,Pause before you move,,,
12,Notice unnecessary effort,,,
13,Stop trying to fix yourself,,,
14,Let the floor support you,,,
15,Let the chair take your weight,,,
16,Allow the sit bones to release downward,,,
17,Let the ribs move freely,,,
18,Think space between vertebrae,,,
19,Allow the head to balance easily,,,
20,Let gravity do the work,,,
21,Widen across the collarbones,,,
22,Let the arms hang from the back,,,
23,Allow the hands to be light,,,
24,Soften the neck before speaking,,,
25,Let the head lead the movement,,,
26,Allow length through the whole spine,,,
27,Let the knees go forward and away,,,
28,Release the hips without pushing,,,
29,Think up without stiffening,,,
30,"Allow ease, not effort",,,
31,Notice where you are holding,,,
32,Choose not to tighten,,,
33,Let go of good posture,,,
34,Allow coordination to happen,,,
35,Let movement emerge,,,
36,Keep the neck free as you stand,,,
37,Let the back stay wide as you sit,,,
38,Allow the head to float,,,
39,Trust the support beneath you,,,
40,Let your breathing organize itself,,,
41,Pause at the start of action,,,
42,Allow length before movement,,,
43,Reduce excess muscle tone,,,
44,Let the chest be soft,,,
45,Allow the spine to be springy,,,
46,"Think direction, not position",,,
47,Let the body be curious,,,
48,Release downward without collapsing,,,
49,Let the arms follow the back,,,
50,"Allow balance, not control",,,
51,Let the neck release when stressed,,,
52,Widen your awareness beyond yourself,,,
53,Include the whole room,,,
54,Let your weight distribute evenly,,,
55,Think of the head as light,,,
56,Let effort drain out,,,
57,Allow your body to organize,,,
58,Soften the front of the neck,,,
59,Let the back breathe,,,
60,Choose ease over habit,,,
61,Let the spine lengthen upward,,,
62,Allow width through the pelvis,,,
63,Release the shoulders down and wide,,,
64,Let the feet rest on the ground,,,
65,Allow the knees to unlock,,,
66,Let the neck lead all movement,,,
67,Think up without strain,,,
68,Stop forcing alignment,,,
69,Let coordination replace control,,,
70,Allow stillness inside movement,,,
71,"Pause, then proceed",,,
72,Let go of end-gaining,,,
73,Allow means to matter,,,
74,Think freedom first,,,
75,Let the body respond,,,
76,Soften before you act,,,
77,Allow space in the joints,,,
78,Let tension dissolve downward,,,
79,Keep the head free as you walk,,,
80,Allow the back to support the limbs,,,
81,Reduce effort in the neck,,,
82,Let the torso widen as you breathe,,,
83,Allow the spine to lengthen naturally,,,
84,Notice and release gripping,,,
85,Let the body feel supported,,,
86,Allow balance to be dynamic,,,
87,Think ease through transitions,,,
88,Let your attention be wide,,,
89,Allow movement to be simple,,,
90,Trust natural coordination,,,
91,Let go of over-doing,,,
92,Allow clarity instead of force,,,
93,Keep direction; drop tension,,,
94,Let your weight flow downward,,,
95,Allow the head to lead forward and up,,,
96,Choose softness over stiffness,,,
97,Let the back widen again,,,
98,"Release, then move",,,
99,"Allow less effort, more length",,,
100,Stop. Think. Direct.,,,
