Number,Prompt,Notes,,
1,Let the top of your head be free.,,,
2,Let your forehead be free.,,,
3,Let the back of your head be free.,,,
4,Let the sides of your head be free.,,,
5,Let your eyebrows be free.,,,
6,Let your ears be free.,,,
7,Let your eyes be free.,,,
8,Let your nose be free.,Added — was gap in your list,,
9,Let your temples be free.,Added — was gap in your list,,
10,Let your cheeks be free.,,,
11,Let your lips and mouth be free.,,,
12,Let your jaw be free.,,,
13,"Let the front, back, and sides of your neck be free.",,,
14,Let your shoulders be free.,,,
15,Let your sternum and chest be free.,,,
16,Let your shoulder blades and mid back be free.,,,
17,Let your upper arms be free.,,,
18,Let your elbows be free.,,,
19,Let your forearms be free.,,,
20,Let your wrists be free.,,,
21,"Let your hands, thumbs, index, middle, ring, and pinky fingers be free.",,,
22,Let your solar plexus be free.,,,
23,Let your armpits be free.,,,
24,Let your abdomen be free.,,,
25,Let your diaphragm be free.,Added — gap in your list,,
26,Let your lower back be free.,,,
27,Let your sides be free.,,,
28,Let your pubic bone be free.,,,
29,Let your groin be free.,,,
30,Let your hips be free.,,,
31,Let your glutes be free.,,,
32,"Let your perineum, anus, and private parts be free.",,,
33,Let your sit bones be free.,Was your #32.5,,
34,"Let the front, back, and sides of your thighs be free.",,,
35,"Let your knees, kneecaps, and the back and sides of your knees be free.",,,
36,Let your shins be free.,,,
37,Let your calves be free.,,,
38,Let your Achilles be free.,,,
39,"Let the inside, outside, front, and back of your ankles be free.",,,
40,Let the tops of your feet be free.,,,
41,Let the bottoms of your feet be free.,,,
42,"Let your heels be free — the edges, the back, and all sides.",,,
43,"Let the balls of your feet be free, from the big toe to the pinky.",,,
44,Let your big toe be free.,,,
45,Let your second toe be free.,,,
46,Let your middle toe be free.,,,
47,Let your fourth toe be free.,,,
48,Let your little toe be free.,,,
